flagA,flagB,flagC,flagD,psnrAverage,psnr0,psnr1,psnr2,psnr3,psnr4,psnr5,psnr6,psnr7,psnr8,psnr9,psnr10,psnr11,psnr12,psnr13,psnr14,psnr15,psnr16,psnr17,psnr18,psnr19,psnr20,psnr21,psnr22,psnr23,
2331,529,192,8720,27.738,24.1182,30.2536,31.2807,30.7059,25.198,25.5814,30.374,21.2632,29.4468,29.3901,27.0809,30.0417,22.3876,27.0845,28.9184,28.6539,30.7538,26.2484,26.3842,28.7883,26.5782,28.3511,31.6154,25.2146,
9745,529,192,8720,27.7379,24.4335,30.3451,31.4558,30.714,24.8512,25.3506,30.2288,21.6009,29.7036,29.0282,27.1345,30.0602,22.2397,26.9327,28.5473,28.6515,30.7252,26.3096,26.9885,28.8237,26.3529,28.4508,31.4447,25.3364,
8729,529,192,8720,27.7375,24.4343,30.344,31.4546,30.7186,24.8477,25.3573,30.2189,21.5978,29.7133,29.0411,27.1307,30.0728,22.2426,26.9266,28.5083,28.6486,30.7076,26.3102,26.9847,28.8597,26.3493,28.4517,31.4415,25.3388,
537,529,192,8720,27.7375,24.4523,30.3547,31.4472,30.7055,24.847,25.3807,30.1726,21.5921,29.6969,29.0332,27.1462,30.0713,22.2639,26.9263,28.4708,28.6719,30.6987,26.3135,26.993,28.8649,26.36,28.4622,31.4283,25.3458,
3840,529,192,8720,27.7372,24.1141,30.2624,31.1966,30.6184,25.0498,25.3183,30.0926,21.5914,29.7242,29.4777,27.0692,30.0793,22.2285,26.9072,28.7099,28.3948,30.6323,26.4427,26.7612,29.3751,26.1448,28.4618,31.6864,25.353,
1433,529,192,8720,27.7369,24.1487,30.2813,31.2908,30.6976,25.1744,25.5812,30.3081,21.2868,29.4551,29.3567,27.0929,29.9926,22.3801,27.0915,28.895,28.7192,30.7512,26.2653,26.4493,28.7175,26.5781,28.3703,31.5836,25.2176,
592,529,192,8720,27.7368,24.4521,30.3853,31.4617,30.6803,24.8342,25.3694,30.1202,21.5742,29.67,29.0533,27.1514,30.0375,22.2607,26.9291,28.5412,28.7205,30.7054,26.3108,27.0068,28.848,26.3477,28.4636,31.41,25.3512,
14080,529,192,8720,27.7364,24.0746,30.2586,31.1833,30.6325,25.0706,25.2687,30.1809,21.574,29.7024,29.4583,27.0485,30.0749,22.2005,26.9129,28.7797,28.3509,30.6729,26.4351,26.7418,29.3878,26.1262,28.4661,31.7232,25.3483,
1424,529,192,8720,27.7361,24.1879,30.3321,31.3037,30.662,25.1487,25.5956,30.1984,21.3103,29.4154,29.3344,27.1232,29.9256,22.4079,27.098,28.848,28.7898,30.7412,26.2871,26.5151,28.6595,26.5808,28.41,31.5299,25.2628,
6425,529,192,8720,27.7361,24.1536,30.2865,31.2926,30.6971,25.1615,25.5719,30.3263,21.3188,29.4976,29.3684,27.0933,29.9926,22.3669,27.0834,28.873,28.6791,30.7287,26.2472,26.4687,28.7383,26.5558,28.3681,31.587,25.2111,
336,529,192,8720,27.7358,24.207,30.3463,31.3028,30.6321,25.1322,25.6185,30.156,21.3347,29.381,29.3195,27.13,29.94,22.4257,27.0914,28.8109,28.7997,30.7247,26.2856,26.549,28.6941,26.5841,28.4283,31.4932,25.2731,
8464,529,192,8720,27.7357,24.196,30.3461,31.3059,30.6468,25.149,25.6219,30.187,21.3268,29.3699,29.3166,27.1286,29.9175,22.4327,27.1053,28.811,28.7952,30.7358,26.2825,26.5092,28.6603,26.5997,28.423,31.5126,25.2774,
600,529,192,8720,27.7355,24.4468,30.3742,31.4656,30.6963,24.8315,25.3672,30.1344,21.568,29.7027,29.0428,27.1377,30.0535,22.2448,26.9257,28.535,28.7064,30.6954,26.3053,27.0006,28.8692,26.3356,28.4533,31.4181,25.3409,
