flagA,flagB,flagC,flagD,ssimAverage,ssim0,ssim1,ssim2,ssim3,ssim4,ssim5,ssim6,ssim7,ssim8,ssim9,ssim10,ssim11,ssim12,ssim13,ssim14,ssim15,ssim16,ssim17,ssim18,ssim19,ssim20,ssim21,ssim22,ssim23,
2340,8721,1181,4914,0.857612,0.751168,0.867942,0.911595,0.891911,0.856335,0.794886,0.942684,0.775802,0.901686,0.902962,0.829365,0.879773,0.710298,0.840594,0.886227,0.83875,0.917651,0.840558,0.844515,0.897404,0.859377,0.851537,0.943897,0.845763,
2340,8721,3496,4914,0.857611,0.75124,0.868017,0.911326,0.892019,0.856561,0.794836,0.942551,0.776026,0.901289,0.902782,0.829316,0.879746,0.710301,0.840679,0.886476,0.838723,0.91788,0.84065,0.844454,0.89707,0.859392,0.851605,0.943885,0.84585,
2340,8721,15092,4914,0.857611,0.747224,0.866472,0.912471,0.891995,0.860394,0.793044,0.945059,0.774014,0.902776,0.904968,0.828119,0.879157,0.707285,0.841317,0.887644,0.836415,0.919547,0.840695,0.844839,0.898238,0.859143,0.850842,0.945224,0.84579,
2340,8721,3992,4914,0.857611,0.751469,0.868105,0.911666,0.892072,0.85671,0.794575,0.942637,0.775506,0.901286,0.902494,0.829341,0.879779,0.710239,0.840874,0.886279,0.838826,0.9178,0.840594,0.844685,0.897045,0.859225,0.851712,0.943932,0.845824,
2340,8721,247,4914,0.85761,0.747055,0.86662,0.912717,0.891831,0.860394,0.793394,0.944781,0.773679,0.903331,0.905256,0.828221,0.879182,0.707696,0.841019,0.887051,0.836709,0.919273,0.840523,0.844562,0.89897,0.859196,0.850444,0.945274,0.845475,
2340,8721,13269,4914,0.85761,0.746698,0.866239,0.912862,0.892157,0.860865,0.792559,0.945649,0.773257,0.903009,0.905108,0.82789,0.879016,0.707224,0.841474,0.88751,0.836078,0.919757,0.84082,0.844757,0.898529,0.858991,0.850844,0.94553,0.845818,
2340,8721,16025,4914,0.85761,0.751234,0.867518,0.911689,0.892005,0.857305,0.794237,0.943269,0.775495,0.901406,0.902728,0.829047,0.87954,0.710208,0.84101,0.88643,0.838228,0.917835,0.840821,0.844699,0.896991,0.859231,0.851719,0.943928,0.846067,
2340,8721,15948,4914,0.85761,0.750975,0.867602,0.911392,0.892027,0.856747,0.794386,0.94311,0.775924,0.901435,0.902959,0.829103,0.879763,0.710454,0.840946,0.886564,0.838355,0.917828,0.840813,0.844422,0.896886,0.859249,0.851701,0.943916,0.846072,
2340,8721,13739,4914,0.857609,0.751029,0.867333,0.911618,0.892101,0.857963,0.794017,0.943562,0.775252,0.901411,0.902901,0.828817,0.879357,0.710162,0.841139,0.886438,0.837804,0.917963,0.841013,0.844442,0.897103,0.859264,0.851679,0.944005,0.846254,
2340,8721,3259,4914,0.857609,0.75132,0.867755,0.911589,0.892002,0.857191,0.794434,0.942974,0.775502,0.901408,0.902764,0.829126,0.879575,0.710342,0.840926,0.88622,0.838302,0.917697,0.840854,0.844533,0.897238,0.859254,0.851676,0.943898,0.846037,
2340,8721,15757,4914,0.857609,0.750963,0.867248,0.911142,0.892005,0.857371,0.794484,0.943357,0.776266,0.901305,0.903121,0.828934,0.879441,0.710305,0.840905,0.886583,0.837941,0.917935,0.840916,0.844266,0.89698,0.859373,0.851641,0.943907,0.846225,
2340,8721,1661,4914,0.857609,0.751288,0.867922,0.911513,0.892038,0.856877,0.794269,0.943021,0.775525,0.901391,0.902713,0.829117,0.879775,0.710549,0.840941,0.886133,0.838457,0.917756,0.84086,0.844418,0.897116,0.859149,0.851718,0.943873,0.846193,
2340,8721,5279,4914,0.857608,0.751103,0.867565,0.911721,0.89198,0.857177,0.794432,0.943186,0.775362,0.90162,0.902961,0.829075,0.879529,0.710305,0.840897,0.886224,0.838264,0.917681,0.840774,0.844525,0.897361,0.859279,0.851614,0.943962,0.845995,
2340,8721,7595,4914,0.857608,0.751137,0.867414,0.911418,0.89207,0.857805,0.794176,0.943366,0.775581,0.901312,0.902878,0.828913,0.879413,0.71025,0.841064,0.886446,0.837887,0.917916,0.840972,0.844394,0.897054,0.859282,0.851665,0.943948,0.846229,
2340,8721,13499,4914,0.857608,0.75116,0.867438,0.911802,0.892058,0.857736,0.794034,0.943512,0.77505,0.901495,0.902824,0.82888,0.879399,0.7102,0.841103,0.886302,0.837967,0.917822,0.840959,0.844579,0.897192,0.859221,0.851692,0.943973,0.846187,
